Position,Track Name,Artist,Streams,URL,Country,Start Date,End Date
78,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,5183750,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB,global,2016-12-23,2016-12-30
79,Solo Dance,Martin Jensen,5126414,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN,global,2016-12-23,2016-12-30
80,Juju on That Beat (TZ Anthem),Zay Hilfigerrr,5077939,https://open.spotify.com/track/1lItf5ZXJc1by9SbPeljFd,global,2016-12-23,2016-12-30
81,Setting Fires,The Chainsmokers,5056330,https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s,global,2016-12-23,2016-12-30
82,Merry Christmas Everyone - Remastered,Shakin' Stevens,4997993,https://open.spotify.com/track/2ISl1zekPsc26sUQpVt8UB,global,2016-12-23,2016-12-30
83,Make Me (Cry),Noah Cyrus,4926962,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP,global,2016-12-23,2016-12-30
84,Santa Tell Me,Ariana Grande,4899973,https://open.spotify.com/track/1ADjWm8QNhgNV8yCNNgQ1T,global,2016-12-23,2016-12-30
85,La Bicicleta,Carlos Vives,4896546,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,global,2016-12-23,2016-12-30
86,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,4888031,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp,global,2016-12-23,2016-12-30
87,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,4885251,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy,global,2016-12-23,2016-12-30
88,Shout Out to My Ex,Little Mix,4836418,https://open.spotify.com/track/0YHUITU3w6ws1v8ehT264g,global,2016-12-23,2016-12-30
89,Lot to Learn,Luke Christopher,4833942,https://open.spotify.com/track/2HzfRSfCogBSsgW2CckVA2,global,2016-12-23,2016-12-30
90,Mistletoe,Justin Bieber,4817146,https://open.spotify.com/track/32OWobmyAz8J2qA8iWekyS,global,2016-12-23,2016-12-30
91,Traicionera,Sebastian Yatra,4805621,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,global,2016-12-23,2016-12-30
92,Controlla,Drake,4781312,https://open.spotify.com/track/6F609ICg9Spjrw1epsAnpa,global,2016-12-23,2016-12-30
93,Water Under the Bridge,Adele,4765744,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y,global,2016-12-23,2016-12-30
94,The Ocean (feat. Shy Martin),Mike Perry,4607088,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv,global,2016-12-23,2016-12-30
95,Hymn for the Weekend - Seeb Remix,Coldplay,4590654,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,global,2016-12-23,2016-12-30
96,Needed Me,Rihanna,4583611,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm,global,2016-12-23,2016-12-30
