id;original_song_name;original_artists_name;song_name;artists_names
79HENnqmKyox1hN2hgPwQW;è stato un attimo;mario venuti;È stato un attimo;['Mario Venuti']
05s9MrVLu3UD7pZwaaBTsk;sei parte di me;zero assoluto;Sei parte di me;['Zero Assoluto']
0CuTlmtd8SLVMzzEWcet3B;siamo una squadra fortissimi;checco zalone;Siamo Una Squadra Fortissimi;['Checco Zalone']
6nRm7ahcHOZj09isAsr34s;bacco perbacco;zucchero;Bacco Perbacco;['Zucchero']
0zvM1CZadfegChzeCeCPgY;down on my knees;ayo;Down On My Knees;['Ayọ']
28euH5Ny1JXxZAt2KjWp62;you give me something;james morrison;You Give Me Something;['James Morrison']
0O45fw2L5vsWpdsOdXwNAR;sexyback;justin timberlake featuring timbaland;SexyBack (feat. Timbaland);['Justin Timberlake', 'Timbaland']
1DN9QmcCfImicRfZtHxHKH;deja vu;beyoncé;Deja Vu (feat. Jay-Z);['Beyoncé', 'JAY-Z']
2gam98EZKrF9XuOkU13ApN;promiscuous;nelly furtado;Promiscuous;['Nelly Furtado', 'Timbaland']
7knLxpsAZfqSbdF8Xt8HpN;un senso;vasco rossi;Un Senso;['Vasco Rossi']
1qEHgdFqUxFebMPk8s2HLY;i don't feel like dancin';scissor sisters;I Don't Feel Like Dancin' - Radio Edit;['Scissor Sisters']
6HSXNV0b4M4cLJ7ljgVVeh;knockin' on heaven's door;bob dylan;Knockin' On Heaven's Door;['Bob Dylan']
3TlQt4KN12OLdpuAXLbWmA;quello che non ti ho detto (scusami);modà;Quello che non ti ho detto;['Modà']
4dLDiLmOQTm0jZgmO7q8Sz;rudebox;robbie williams;Rudebox;['Robbie Williams']
0mHZ5IoR9iNM7HoZafOwcl;ed ero contentissimo;tiziano ferro;Ed ero contentissimo;['Tiziano Ferro']
6wzfQov1AqLc1r0NnsZqgL;sewn;the feeling;Sewn - Radio Edit;['The Feeling']
1h2klFmCgDZn7auUNH2XVh;mal di stomaco;fabri fibra;Mal Di Stomaco;['Fabri Fibra']
13xxBnXOuiBxVxJI458B0i;unfaithful;rihanna;Unfaithful;['Rihanna']
0C9rBeWAsPhmBeaYKZLN5m;figli delle stelle;alan sorrenti;Figli Delle Stelle;['Alan Sorrenti']
3pbtBomO4Zt5gGiqsYeiBH;ipside down;jack johnson;Upside Down;['Diana Ross']
7jRoWfRlLnGYEIEn4t4kbq;london bridge;fergie;London Bridge;['Fergie']
2RUhtNBh43RtSg0WBPPq3m;naive;the kooks;Naive;['The Kooks']
3BxWKCI06eQ5Od8TY2JBeA;buttons;pussycat dolls;Buttons;['The Pussycat Dolls']
2nLtzopw4rPReszdYBJU6h;numb;linkin park;Numb;['Linkin Park']
5MXkAd6Y91vylWY4ciQsy6;malinconia;luca carboni;Malinconia;['Luca Carboni']
4ZQghCWBEnnfLUbev9QlI4;arrisca;lili rocha;Arrisca;['Lili Rocha']
663Karu2rvKLdnY0eo1n3M;call me when you're sober;evanescence;Call Me When You're Sober;['Evanescence']
0COqiPhxzoWICwFCS4eZcp;bring me to life;evanescence;Bring Me To Life;['Evanescence']
43NQDJXpu2KSB6w3HYOcp6;ti amo o ti ammazzo;j-ax;Ti amo o ti ammazzo;['J-AX']
4IOwyh43lfyqr2h6M6M5J7;gocce di memoria;giorgia;Gocce di memoria;['Giorgia']
4UzVcXufOhGUwF56HT7b8M;my immortal;evanescence;My Immortal;['Evanescence']
7EUwNBQHz2j0oak6YO2oZZ;history of a dream;jk lloyd;History of a Dream;['Jk Lloyd']
31h1zkmGhtwjZtBL2U8VhE;oh! what a girl!;simply red;Oh! What A Girl! (Demo Version);['Simply Red']
0Qn0i8df7Q76ej3RAXAtI2;rock this party;bob sinclar;Rock This Party - Everybody Dance Now;['Bob Sinclar', 'Cutee B.', 'DollarMan', 'Big Ali', 'Makedah']
3sTc75CCyIw4FPs6cXkOe7;save room;john legend;Save Room;['John Legend']
2Jlq1yNoXP548kPZcKRl18;starlight;muse;Starlight;['Muse']
00gBosCSSQK2gEDcaNcjAJ;ho perso le parole;ligabue;Ho perso le parole - 2008 Remaster;['Ligabue']
